label,SHORT_TERM_COUNT_BANK,SHORT_TERM_COUNT_NON_BANK,MID_TERM_COUNT_NON_BANK,NUMBER_OF_CREDIT_CARDS_BANK,NUMBER_OF_CREDIT_CARDS_NON_BANK,NUM_NEW_LOAN_TAKEN_3M,NUM_NEW_LOAN_TAKEN_6M,OUTSTANDING_BAL_LOAN_6M,OUTSTANDING_BAL_CC_3M,INCREASING_BAL_3M_LOAN,INCREASING_BAL_6M_LOAN,INCREASING_BAL_3M_CC,INCREASING_BAL_6M_CC,INCREASING_BAL_3M_ALL,INCREASING_BAL_6M_ALL,OUTSTANDING_BAL_CC_CURRENT,CREDIT_CARD_NUMBER_OF_LATE_PAYMENT,ENQUIRIES_FROM_BANK_3M,ENQUIRIES_FROM_NON_BANK_3M,ENQUIRIES_FROM_NON_BANK_FOR_CC_3M,ENQUIRIES_FROM_NON_BANK_9M,ENQUIRIES_FROM_BANK_12M,ENQUIRIES_FROM_NON_BANK_FOR_CC_12M
0,4.0,7.0,1.0,1.0,4.0,14.0,20.0,1000053.0,1000053.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000140.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,7.0,1.0,1.0,4.0,1.0,14.0,14.0,1000018.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,999990.0,1.0,19.0,9.0,2.0,9.0,29.0,2.0
0,1.0,1.0,4.0,1.0,7.0,8.0,8.0,1000052.0,1000413.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000400.0,0.0,4.0,19.0,7.0,19.0,4.0,7.0
1,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,0.0,4.0,9.0,2.0,9.0,4.0,2.0
0,4.0,7.0,1.0,1.0,1.0,8.0,8.0,1000073.0,999990.0,1000010.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,999990.0,1.0,29.0,9.0,2.0,9.0,49.0,2.0
0,4.0,4.0,1.0,1.0,1.0,8.0,8.0,1000030.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,1.0,1.0,7.0,1.0,1.0,2.0,14.0,1000245.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,999990.0,1.0,44.0,9.0,2.0,19.0,49.0,2.0
0,7.0,7.0,1.0,1.0,1.0,8.0,14.0,1000238.0,999990.0,1000000.0,1000000.0,1000000.0,999990.0,2000000.0,2000000.0,999990.0,1.0,9.0,9.0,2.0,9.0,9.0,2.0
0,1.0,4.0,1.0,1.0,1.0,8.0,8.0,1000017.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,999990.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,1.0,4.0,1.0,4.0,1.0,2.0,8.0,1000058.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,1.0,4.0,4.0,7.0,4.0,8.0,8.0,1000110.0,1000333.0,1000010.0,1000000.0,1000010.0,1000000.0,2000020.0,2000000.0,1000380.0,1.0,24.0,14.0,2.0,14.0,24.0,2.0
0,4.0,4.0,1.0,1.0,1.0,8.0,8.0,1000055.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,999990.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,4.0,4.0,1.0,4.0,1.0,2.0,14.0,1000053.0,1000037.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000050.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,1.0,4.0,1.0,4.0,1.0,2.0,8.0,1000090.0,1000023.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000104.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,4.0,7.0,1.0,1.0,1.0,8.0,20.0,1000058.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,1000034.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
1,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1000090.0,1000000.0,1000010.0,1000000.0,1000000.0,1000000.0,2000020.0,2000000.0,1000000.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,1.0,4.0,1.0,1.0,1.0,2.0,8.0,1000033.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,2000000.0,1999990.0,999990.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
1,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1000053.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,4.0,14.0,2.0,14.0,4.0,2.0
1,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,1.0,7.0,1.0,1.0,1.0,8.0,14.0,1000083.0,999990.0,1000010.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,999990.0,1.0,4.0,14.0,2.0,14.0,4.0,2.0
0,1.0,1.0,7.0,1.0,4.0,8.0,8.0,1000458.0,1000150.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000220.0,1.0,9.0,14.0,2.0,19.0,9.0,2.0
1,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,4.0,9.0,2.0,9.0,9.0,2.0
0,4.0,7.0,1.0,4.0,1.0,2.0,2.0,1000055.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,4.0,14.0,2.0,14.0,29.0,2.0
0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1000082.0,1000000.0,1000010.0,1000000.0,1000000.0,1000000.0,2000020.0,2000000.0,1000000.0,1.0,4.0,14.0,2.0,19.0,4.0,2.0
0,1.0,4.0,1.0,1.0,4.0,8.0,8.0,1000012.0,1000320.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000027.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,4.0,4.0,1.0,4.0,1.0,8.0,8.0,1000354.0,1000383.0,1000000.0,1000000.0,1000000.0,1000000.0,2000020.0,2000000.0,1000400.0,1.0,4.0,9.0,2.0,9.0,34.0,2.0
0,1.0,7.0,1.0,1.0,1.0,8.0,14.0,1000112.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,4.0,14.0,2.0,14.0,4.0,2.0
0,1.0,4.0,1.0,1.0,1.0,8.0,8.0,1000018.0,1000000.0,1000010.0,1000000.0,1000000.0,1000000.0,2000020.0,2000000.0,1000000.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,7.0,7.0,1.0,1.0,4.0,8.0,14.0,1000123.0,1000030.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000030.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,4.0,4.0,1.0,1.0,1.0,8.0,8.0,1000025.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,4.0,14.0,2.0,14.0,4.0,2.0
1,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1000015.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,14.0,24.0,7.0,34.0,14.0,17.0
1,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,4.0,14.0,2.0,14.0,4.0,2.0
1,4.0,4.0,4.0,1.0,1.0,8.0,14.0,1000188.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,999990.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,1.0,1.0,7.0,1.0,7.0,8.0,8.0,1000318.0,1000297.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000280.0,0.0,4.0,14.0,2.0,14.0,4.0,2.0
0,4.0,1.0,1.0,4.0,1.0,14.0,14.0,1000010.0,1000010.0,1000000.0,1000000.0,1000000.0,1000000.0,2000020.0,2000000.0,1000010.0,1.0,4.0,14.0,2.0,14.0,4.0,2.0
0,4.0,1.0,1.0,1.0,1.0,2.0,8.0,1000050.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,4.0,14.0,2.0,14.0,4.0,2.0
0,1.0,4.0,1.0,1.0,4.0,2.0,2.0,1000165.0,1000250.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000240.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,4.0,1.0,4.0,1.0,4.0,2.0,2.0,1000140.0,1000290.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000280.0,0.0,4.0,9.0,2.0,9.0,4.0,2.0
0,4.0,4.0,1.0,7.0,4.0,8.0,14.0,1000025.0,1000167.0,1000000.0,1000000.0,1000000.0,1000000.0,2000020.0,2000000.0,1000200.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,4.0,1.0,1.0,4.0,1.0,2.0,8.0,1000121.0,1000053.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000060.0,1.0,4.0,9.0,2.0,14.0,4.0,2.0
0,1.0,4.0,1.0,1.0,1.0,8.0,8.0,1000017.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
1,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1000002.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
1,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,24.0,14.0,2.0,14.0,89.0,2.0
0,4.0,4.0,1.0,4.0,1.0,8.0,14.0,1000082.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,9.0,14.0,2.0,24.0,9.0,2.0
0,4.0,4.0,1.0,4.0,7.0,8.0,14.0,1000105.0,1000063.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000135.0,1.0,4.0,14.0,2.0,14.0,14.0,2.0
0,1.0,1.0,4.0,7.0,4.0,2.0,2.0,1000120.0,1000200.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000300.0,1.0,19.0,14.0,2.0,19.0,24.0,2.0
0,4.0,4.0,1.0,1.0,1.0,8.0,14.0,1000097.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,999990.0,1.0,4.0,9.0,2.0,9.0,14.0,2.0
1,1.0,1.0,4.0,4.0,1.0,2.0,2.0,1000263.0,1000000.0,1000010.0,1000020.0,1000000.0,1000000.0,2000020.0,2000020.0,1000000.0,1.0,4.0,9.0,2.0,14.0,4.0,2.0
0,4.0,4.0,7.0,4.0,4.0,8.0,14.0,1000542.0,1000207.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000369.0,1.0,4.0,14.0,2.0,34.0,4.0,2.0
0,1.0,7.0,1.0,4.0,1.0,2.0,2.0,1000073.0,1000019.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000118.0,1.0,4.0,9.0,2.0,24.0,4.0,7.0
1,4.0,1.0,1.0,1.0,1.0,2.0,8.0,1000003.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,0.0,4.0,9.0,2.0,9.0,4.0,2.0
0,7.0,4.0,1.0,1.0,1.0,8.0,14.0,1000048.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,1000010.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,1.0,4.0,1.0,4.0,1.0,8.0,8.0,1000015.0,1000003.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,1.0,7.0,1.0,1.0,1.0,2.0,8.0,1000082.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,999990.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1000010.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,999990.0,1.0,4.0,14.0,2.0,14.0,4.0,2.0
0,4.0,1.0,1.0,1.0,1.0,8.0,8.0,1000008.0,999990.0,1000010.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,999990.0,1.0,4.0,14.0,2.0,14.0,4.0,2.0
0,1.0,7.0,1.0,1.0,1.0,14.0,14.0,1000040.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,2000000.0,1999990.0,999990.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,4.0,4.0,1.0,1.0,1.0,8.0,14.0,1000133.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,999990.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
1,4.0,1.0,7.0,4.0,4.0,2.0,2.0,1000203.0,1000217.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000210.0,1.0,24.0,14.0,2.0,24.0,34.0,2.0
